Unnamed: 0,cmtFileName,Number of Nodes,Number of Trucks,Coarsening Rate,Run Number,Solution Cost,Relative Cost,Solve Time,Real number of trucks,qpu_access_time,run_time
26,CMT02.xml,76,10,0.5,1,2249.7596710326206,2.6934842696078114,24.28797578811645,14,42.641,3778.694
27,CMT02.xml,76,10,0.5,2,2249.7596710326206,2.6934842696078114,25.490779161453247,13,42.644,3771.659
28,CMT02.xml,76,10,0.3,1,1453.6019286241192,1.740298743653616,16.202603578567505,14,42.675,2997.357
29,CMT02.xml,76,10,0.3,2,1453.6019286241192,1.740298743653616,17.05985140800476,13,42.651,2995.212
30,CMT03.xml,101,8,1.0,0,4989.4226212577205,6.039439588033167,340.31234216690063,10,213.138,39980.866
31,CMT03.xml,101,8,0.9,0,4600.972765837347,5.5692410073805245,243.06221199035645,12,127.875,29410.27
32,CMT03.xml,101,8,0.7,0,3802.95867471097,4.603285974182306,121.64697790145874,11,85.346,13025.845
33,CMT03.xml,101,8,0.5,0,2986.382465433753,3.614862451199256,56.44270443916321,11,85.345,6139.857
34,CMT03.xml,101,8,0.3,0,2132.433465505106,2.581201086383792,26.033520221710205,11,42.669,3001.071
35,CMT03.xml,101,8,1.0,1,4989.4226212577205,6.039439588033167,306.3053638935089,12,213.247,40005.968
36,CMT03.xml,101,8,1.0,2,4989.4226212577205,6.039439588033167,311.54627299308777,11,170.593,39968.428
37,CMT03.xml,101,8,0.9,1,4600.972765837347,5.5692410073805245,220.5369439125061,11,127.945,29404.814
38,CMT03.xml,101,8,0.9,2,4600.972765837347,5.5692410073805245,219.3971312046051,12,170.596,29433.317
39,CMT03.xml,101,8,0.7,1,3802.95867471097,4.603285974182306,104.88601207733154,12,85.353,13380.091
40,CMT03.xml,101,8,0.7,2,3802.95867471097,4.603285974182306,109.0246307849884,13,85.351,13082.024
41,CMT03.xml,101,8,0.5,1,2986.382465433753,3.614862451199256,47.00764298439026,11,85.345,6135.553
42,CMT03.xml,101,8,0.5,2,2986.382465433753,3.614862451199256,50.22141742706299,11,42.675,6138.021
43,CMT03.xml,101,8,0.3,1,2132.433465505106,2.581201086383792,23.214561223983765,11,42.648,2977.846
44,CMT03.xml,101,8,0.3,2,2132.433465505106,2.581201086383792,21.12109017372132,12,42.677,2997.434
45,CMT04.xml,151,12,1.0,0,7360.5017683808865,7.157097069661117,1160.2900094985962,16,468.914,139884.912
46,CMT04.xml,151,12,0.9,0,6703.910222365277,6.518650184132238,843.0285968780518,17,170.489,103628.028
47,CMT04.xml,151,12,0.7,0,5307.093638594146,5.160434101431464,398.63196086883545,17,213.117,46554.616
48,CMT04.xml,151,12,0.5,0,4225.810695423317,4.10903200581797,177.2364161014557,17,85.338,16990.698
49,CMT04.xml,151,12,0.3,0,2807.4114186872803,2.7298296597569864,64.69471001625061,17,85.335,5084.717
50,CMT04.xml,151,12,1.0,1,7360.5017683808865,7.157097069661117,1061.0318562984469,16,554.44,139637.834
51,CMT04.xml,151,12,1.0,2,7360.5017683808865,7.157097069661117,1078.6881568431854,17,511.806,139909.124
52,CMT04.xml,151,12,0.9,1,6703.910222365277,6.518650184132238,787.3976118564606,16,170.599,103464.96
53,CMT04.xml,151,12,0.9,2,6703.910222365277,6.518650184132238,782.2682144641876,17,170.597,103662.353
54,CMT04.xml,151,12,0.7,1,5307.093638594146,5.160434101431464,370.15237975120544,16,213.237,46485.464
55,CMT04.xml,151,12,0.7,2,5307.093638594146,5.160434101431464,383.41514801979065,17,213.238,46510.197
56,CMT04.xml,151,12,0.5,1,4225.810695423317,4.10903200581797,150.18262195587158,16,84.633,16981.302
57,CMT04.xml,151,12,0.5,2,4225.810695423317,4.10903200581797,151.02385663986206,15,85.342,16979.348
58,CMT04.xml,151,12,0.3,1,2807.4114186872803,2.7298296597569864,57.36399960517883,17,85.344,5072.798
