Number of Nodes,Number of trucks,Coarsening Ratio,Run Number,Cost Evaluation,Solve Time,Cost Evaluation (duplicate),Solve Time (duplicate)
30,2,0.7,16,5.134046782,34.03826475,5.134046782,34.03826475
,,,,,,,
30,2,0.7,17,4.830646651,1.648750305,4.830646651,1.648750305
,,,,,,,
30,2,0.7,18,5.533500236,255.6542616,5.533500236,255.6542616
,,,,,,,
30,2,0.7,19,4.983200962,1.127948046,4.983200962,1.127948046
,,,,,,,
30,2,0.5,0,5.388926466,0.478575706,5.388926466,0.478575706
,,,,,,,
30,2,0.5,1,5.664429177,14.51698923,5.664429177,14.51698923
,,,,,,,
30,2,0.5,2,5.017955689,0.577173233,5.017955689,0.577173233
,,,,,,,
30,2,0.5,3,5.66091603,0.565024137,5.66091603,0.565024137
,,,,,,,
30,2,0.5,4,5.614155143,2.517187119,5.614155143,2.517187119
,,,,,,,
30,2,0.5,5,5.623512821,0.450069666,5.623512821,0.450069666
,,,,,,,
30,2,0.5,6,4.707155555,0.393399715,4.707155555,0.393399715
,,,,,,,
30,2,0.5,7,5.551599935,0.781350374,5.551599935,0.781350374
,,,,,,,
30,2,0.5,8,5.072981332,0.489486217,5.072981332,0.489486217
,,,,,,,
30,2,0.5,9,5.45913772,0.689484596,5.45913772,0.689484596
,,,,,,,
30,2,0.5,10,5.35168396,2.002356052,5.35168396,2.002356052
,,,,,,,
30,2,0.5,11,4.966070025,0.330147266,4.966070025,0.330147266
,,,,,,,
30,2,0.5,12,5.354730318,0.568380833,5.354730318,0.568380833
,,,,,,,
30,2,0.5,13,5.135153603,0.433600903,5.135153603,0.433600903
,,,,,,,
30,2,0.5,14,5.154655708,0.567401409,5.154655708,0.567401409
,,,,,,,
30,2,0.5,15,5.546132185,2.182728767,5.546132185,2.182728767
,,,,,,,
30,2,0.5,16,5.206736657,1.835171223,5.206736657,1.835171223
,,,,,,,
30,2,0.5,17,4.899467309,0.611478567,4.899467309,0.611478567
,,,,,,,
30,2,0.5,18,5.690279499,30.0851264,5.690279499,30.0851264
,,,,,,,
30,2,0.5,19,5.017757415,0.522670031,5.017757415,0.522670031
,,,,,,,
30,2,0.3,0,5.664704745,0.245980024,5.664704745,0.245980024
,,,,,,,
30,2,0.3,1,5.839718493,0.304544687,5.839718493,0.304544687
,,,,,,,
30,2,0.3,2,5.305222104,0.291749239,5.305222104,0.291749239
,,,,,,,
30,2,0.3,3,6.46673775,0.275013924,6.46673775,0.275013924
,,,,,,,
30,2,0.3,4,6.302162008,0.287718534,6.302162008,0.287718534
,,,,,,,
30,2,0.3,5,6.435068564,0.267088413,6.435068564,0.267088413
,,,,,,,
30,2,0.3,6,4.707155555,0.287541628,4.707155555,0.287541628
,,,,,,,
30,2,0.3,7,5.936868182,0.280353069,5.936868182,0.280353069
,,,,,,,
30,2,0.3,8,5.171031588,0.301570177,5.171031588,0.301570177
,,,,,,,
30,2,0.3,9,5.763244155,0.252085447,5.763244155,0.252085447
,,,,,,,
30,2,0.3,10,5.48273831,0.289608717,5.48273831,0.289608717
,,,,,,,
30,2,0.3,11,5.804384772,0.296066761,5.804384772,0.296066761
,,,,,,,
30,2,0.3,12,5.799732555,0.314641714,5.799732555,0.314641714
,,,,,,,
30,2,0.3,13,5.47732076,0.27461791,5.47732076,0.27461791
,,,,,,,
30,2,0.3,14,5.339045576,0.277070045,5.339045576,0.277070045
,,,,,,,
30,2,0.3,15,5.742436805,0.281033039,5.742436805,0.281033039
,,,,,,,
30,2,0.3,16,5.448569042,0.346344233,5.448569042,0.346344233
,,,,,,,
30,2,0.3,17,5.055488709,0.273100853,5.055488709,0.273100853
,,,,,,,
30,2,0.3,18,5.867105172,0.298551321,5.867105172,0.298551321
,,,,,,,
30,2,0.3,19,5.169089321,0.26759243,5.169089321,0.26759243
,,,,,,,
50,2,1,0,6.427387033,601.6519969,6.427387033,601.6519969
,,,,,,,
50,2,1,1,6.478407041,601.8705962,6.478407041,601.8705962
,,,,,,,
50,2,1,2,6.048949435,601.7144523,6.048949435,601.7144523
,,,,,,,
50,2,1,3,6.02691536,602.1229146,6.02691536,602.1229146
,,,,,,,
50,2,1,4,6.889044151,602.016681,6.889044151,602.016681
,,,,,,,
50,2,1,5,6.484604832,602.0569465,6.484604832,602.0569465
,,,,,,,
50,2,1,6,6.136310115,8.410275459,6.136310115,8.410275459
,,,,,,,
50,2,1,7,5.997568943,601.6155338,5.997568943,601.6155338
,,,,,,,
50,2,1,8,6.476186709,602.0831387,6.476186709,602.0831387
,,,,,,,
50,2,1,9,5.865931914,601.8270254,5.865931914,601.8270254
,,,,,,,
50,2,1,10,6.025081498,601.3035824,6.025081498,601.3035824
,,,,,,,
50,2,1,11,6.239165898,40.9182837,6.239165898,40.9182837
,,,,,,,
50,2,1,12,6.244339113,601.7982483,6.244339113,601.7982483
,,,,,,,
50,2,1,13,6.683591617,601.955579,6.683591617,601.955579
,,,,,,,
50,2,1,14,5.784720371,157.1035209,5.784720371,157.1035209
,,,,,,,
50,2,1,15,5.392075051,601.7390652,5.392075051,601.7390652
,,,,,,,
50,2,1,16,6.428651544,602.3843658,6.428651544,602.3843658
,,,,,,,
50,2,1,17,6.603938038,601.9115841,6.603938038,601.9115841
,,,,,,,
50,2,1,18,5.90366979,500.4088299,5.90366979,500.4088299
,,,,,,,
50,2,1,19,6.346186902,601.969847,6.346186902,601.969847
,,,,,,,
50,2,0.9,0,6.240327832,602.171133,6.240327832,602.171133
,,,,,,,
50,2,0.9,1,6.496036295,601.8884645,6.496036295,601.8884645
,,,,,,,
50,2,0.9,2,6.048949435,601.8918164,6.048949435,601.8918164
,,,,,,,
50,2,0.9,3,6.093627902,603.4967318,6.093627902,603.4967318
,,,,,,,
50,2,0.9,4,6.907081636,602.7785585,6.907081636,602.7785585
,,,,,,,
50,2,0.9,5,6.484604832,601.6897733,6.484604832,601.6897733
,,,,,,,
50,2,0.9,6,6.136310115,6.069079876,6.136310115,6.069079876
,,,,,,,
50,2,0.9,7,5.997568943,601.7278991,5.997568943,601.7278991
,,,,,,,
50,2,0.9,8,6.476186709,602.6605721,6.476186709,602.6605721
,,,,,,,
50,2,0.9,9,5.966750408,601.3470497,5.966750408,601.3470497
,,,,,,,
50,2,0.9,10,6.071078322,601.2309442,6.071078322,601.2309442
,,,,,,,
