,cmtFileName,Number of Trucks,Coarsening Rate,Run Number,Solution Cost,Relative Cost,Solve Time
59,CMT03.xml,8,0.7,0,882.3071636089082,1.0679874641209823,3005.1698565483093
60,CMT03.xml,8,0.7,1,882.3071636089082,1.0679874641209823,3005.030378103256
32,CMT03.xml,8,0.7,2,882.3071636089082,1.0679874641209823,3005.1683900356293
57,CMT03.xml,8,0.9,0,848.8983887046411,1.027547859569372,3002.8453772068024
58,CMT03.xml,8,0.9,1,848.8983887046411,1.027547859569372,3002.878339290619
31,CMT03.xml,8,0.9,2,848.8983887046411,1.027547859569372,3003.031270980835
55,CMT03.xml,8,1.0,0,943.054240922556,1.141518678338485,3001.304864883423
56,CMT03.xml,8,1.0,1,943.054240922556,1.141518678338485,3001.431486606598
30,CMT03.xml,8,1.0,2,943.054240922556,1.141518678338485,3001.5224120616917
73,CMT04.xml,12,0.3,0,1202.5129085925066,1.1692819165248698,3021.913405895233
74,CMT04.xml,12,0.3,1,1202.5129085925066,1.1692819165248698,3021.9444863796234
39,CMT04.xml,12,0.3,2,1202.5129085925066,1.1692819165248698,3022.8272960186005
71,CMT04.xml,12,0.5,0,1119.3249875166136,1.0883928623681118,3018.858461380005
72,CMT04.xml,12,0.5,1,1119.3249875166136,1.0883928623681118,3019.502581357956
38,CMT04.xml,12,0.5,2,1119.3249875166136,1.0883928623681118,3019.468930721283
69,CMT04.xml,12,0.7,0,1198.4982347231758,1.1653781866583457,3015.026311635971
70,CMT04.xml,12,0.7,1,1198.4982347231758,1.1653781866583457,3015.365978717804
37,CMT04.xml,12,0.7,2,1198.4982347231758,1.1653781866583457,3015.3754575252533
67,CMT04.xml,12,0.9,0,1157.628791085664,1.125638154728286,3007.6385219097137
68,CMT04.xml,12,0.9,1,1157.628791085664,1.125638154728286,3007.708510160446
36,CMT04.xml,12,0.9,2,1157.628791085664,1.125638154728286,3007.9338190555573
65,CMT04.xml,12,1.0,0,1106.8451814355822,1.0762579310355518,3002.6836137771606
66,CMT04.xml,12,1.0,1,1106.8451814355822,1.0762579310355518,3002.7227766513824
35,CMT04.xml,12,1.0,2,1106.8451814355822,1.0762579310355518,3002.902444124222
83,CMT05.xml,17,0.3,0,1518.3942290902355,1.1758739160763545,3047.875888109207
84,CMT05.xml,17,0.3,1,1518.3942290902355,1.1758739160763545,3048.176398038864
44,CMT05.xml,17,0.3,2,1518.3942290902355,1.1758739160763545,3049.737562417984
81,CMT05.xml,17,0.5,0,1436.6061245441813,1.1125356229384424,3043.4809477329254
82,CMT05.xml,17,0.5,1,1436.6061245441813,1.1125356229384424,3043.1608407497406
43,CMT05.xml,17,0.5,2,1436.6061245441813,1.1125356229384424,3044.003101348877
