cmtFileName,Number of Trucks,Coarsening Rate,Run Number,Solution Cost,Relative Cost,Solve Time,D-Wave Problem ID,Real number of trucks
CMT05.xml,17,0.9,0,8734.52357030312,6.764184319791155,1735.199274778366,N/A,22
CMT05.xml,17,0.7,0,7022.681038867063,5.438500289529899,848.1064486503601,N/A,22
CMT05.xml,17,0.5,0,5448.5504117324235,4.219463026688369,346.28221321105957,N/A,24
CMT05.xml,17,0.3,0,3812.2233461372084,2.9522596365938005,125.91418838500977,N/A,22
CMT11.xml,7,1,0,12239.313868857094,11.74463005110457,505.0972476005554,N/A,10
CMT11.xml,7,0.9,0,10844.677060013491,10.406361129249504,356.82922554016113,N/A,10
CMT11.xml,7,0.7,0,8094.421291432615,7.767264126427491,173.5335717201233,N/A,11
CMT11.xml,7,0.5,0,5754.267906418941,5.521694148868596,72.22754073143005,N/A,12
CMT11.xml,7,0.3,0,3492.1407856125556,3.3509968003805284,27.135645389556885,N/A,11
CMT12.xml,10,1,0,5770.962375615749,7.0415373805648755,287.16669940948486,N/A,13
CMT12.xml,10,0.9,0,5289.60243256914,6.454197902007345,199.2216501235962,N/A,12
CMT12.xml,10,0.7,0,4365.100847522498,5.326151651523376,96.8328742980957,N/A,14
CMT12.xml,10,0.5,0,3325.0322806756403,4.057094392937235,40.07009172439575,N/A,12
CMT12.xml,10,0.3,0,2079.1644408520306,2.536927669544671,15.706520080566406,N/A,14
